size_c,parent,n_atoms,side,parent_r,child_mean,child_best,delta_mean,delta_best
30.0,CCCC1CC(N(C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O,27,below,0.3234236725010795,0.3303081691265106,0.3470616340637207,0.006884485483169556,0.02363795042037964
30.0,CN(C)C1C2CC3C(=O)c4c(O)cccc4C(C)(O)C3CC2C(O)=C(C(N)=O)C1=O,30,above,0.509175901509735,0.4886000156402588,0.5137553215026855,-0.020575881004333496,0.004579424858093262
30.0,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3ccc(cc3)C(=O)NCc4ccncc4,32,above,0.5411604821948355,0.5069113373756409,0.5284966230392456,-0.03424912691116333,-0.012663841247558594
30.0,CC1(O)C2CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C2C(=O)c2c(O)cccc21,32,above,0.3227899492846695,0.30514171719551086,0.3178325593471527,-0.01764822006225586,-0.004957377910614014
30.0,CC1C=CC=C(C)C(=O)NC2=C(O)C3=C(O)C(C)=C(O)C(=C3C(=O)C2=O)C(C)C(O)C(C)C1O,34,above,0.36760624381829327,0.3394106328487396,0.3685365617275238,-0.028195619583129883,0.0009303092956542969
30.0,CN1CCN(CC1)c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)NC,35,above,0.48863474985258026,0.4389997720718384,0.44903984665870667,-0.049634963274002075,-0.03959488868713379
30.0,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,40,above,0.14495618488262887,0.13910560309886932,0.14767152070999146,-0.00585058331489563,0.0027153342962265015
30.0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,51,above,0.018201167377736117,0.015121637843549252,0.01583508960902691,-0.003079528920352459,-0.0023660771548748016
35.0,CCC1=NC(=NC=C1)N(C)CC,12,below,0.022974687861175676,0.029311882331967354,0.03398704528808594,0.00633719377219677,0.011012356728315353
35.0,CC(C)NCCN1CCN(CC1)C,13,below,0.030573464012774203,0.03699365258216858,0.04207770153880119,0.0064201876521110535,0.011504236608743668
35.0,Nc1ccc(NC(=O)CCC)cc1,13,below,0.037969535919441806,0.04597236588597298,0.050901900976896286,0.008002828806638718,0.012932363897562027
35.0,Cc1ccc(NCCN(C)C)cc1O,14,below,0.047997964907598833,0.05678382143378258,0.06112572178244591,0.008785855025053024,0.013127755373716354
35.0,CCN(CC)CCNc1ccccc1,14,below,0.03671554781062742,0.046316247433423996,0.052277132868766785,0.009600698947906494,0.015561584383249283
35.0,CCNc1nc(N)nc2c1ncn2CC,15,below,0.034672364971084745,0.04127350449562073,0.043595511466264725,0.0066011399030685425,0.00892314687371254
35.0,CN1CCN(CC1)c2ccccc2NCCO,17,below,0.08014799875333832,0.09677383303642273,0.10560139268636703,0.016625836491584778,0.025453396141529083
35.0,Cc1ccc(N2CCN(CCO)CC2)cc1Cl,17,below,0.08637016002782424,0.10785407572984695,0.11546353250741959,0.02148391306400299,0.029093369841575623
35.0,Nc1ccc(C(=O)N2CCN(CC)CC2)cc1,17,below,0.0838691215430514,0.1025756374001503,0.11377499997615814,0.018706515431404114,0.029905878007411957
35.0,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,17,below,0.0519461579683817,0.06567587703466415,0.07537824660539627,0.013729717582464218,0.023432087153196335
35.0,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,20,below,0.0612857884080918,0.08168971538543701,0.0906616821885109,0.020403925329446793,0.029375892132520676
35.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,21,below,0.13770199550354742,0.15035480260849,0.16926556825637817,0.012652814388275146,0.03156358003616333
35.0,CCC1=CC2=C(N=C1)N=C(NC3CCCCC3O)N=C2N,21,below,0.14307993417499565,0.15780238807201385,0.1679585874080658,0.014722451567649841,0.024878650903701782
